usd_goal_log,duration_days,main_category,country,launch_day,launch_month,success
4.477135730961123,29,Music,US,16,6,1
3.949438801036505,29,Technology,US,18,8,0
4.95424733490676,44,Technology,US,8,5,0
2.9705932475290093,29,Film & Video,AU,1,5,1
3.1763806922432702,44,Music,US,24,4,1
4.25529663190434,29,Film & Video,US,1,9,1
4.204147125212848,37,Games,US,25,12,0
4.09694475517694,29,Games,US,3,9,1
3.477265995424853,29,Film & Video,US,19,11,1
2.699837725867246,29,Film & Video,US,19,1,0
4.698978690138799,59,Design,US,20,2,0
3.602168551378997,29,Publishing,US,14,4,0
4.000043427276863,45,Fashion,US,5,6,1
1.7075701760979365,29,Publishing,US,25,3,0
4.243062864804807,30,Music,US,8,3,0
3.477265995424853,29,Film & Video,US,17,7,0
3.000434077479319,29,Food,US,28,11,0
3.5441921107650325,44,Technology,US,15,6,1
4.698978690138799,59,Technology,US,30,3,0
4.1761202110560856,29,Film & Video,US,21,6,0
3.5441921107650325,29,Fashion,US,28,1,0
3.3012470886362117,39,Art,US,15,9,0
3.3012470886362117,59,Photography,US,10,4,1
3.3012470886362117,59,Fashion,US,28,2,0
4.000043427276863,29,Music,US,22,3,0
4.278776457955645,59,Music,US,3,12,0
4.397957380103888,38,Film & Video,US,19,1,1
3.699056854547668,13,Games,US,16,9,1
3.000434077479319,44,Film & Video,US,6,10,1
3.863814583746735,34,Games,GB,20,3,1
4.544080452586785,59,Technology,US,28,1,0
3.0983771844784296,22,Publishing,CA,19,9,1
4.414533485650473,19,Food,GB,18,6,0
4.1761202110560856,34,Film & Video,US,16,3,0
2.9033179317646742,59,Film & Video,CA,26,1,0
3.079543007402906,35,Theater,US,24,4,0
3.33485368085001,59,Design,FR,22,1,1
2.8756399370041685,29,Comics,US,4,3,0
3.9031442704095385,34,Journalism,US,29,5,1
3.000434077479319,29,Crafts,US,14,8,0
4.397957380103888,50,Film & Video,US,10,9,0
3.3803921600570277,22,Games,US,25,10,1
2.9849771264154934,29,Technology,US,16,8,1
3.1142772965615864,29,Games,US,7,6,1
4.364843365643483,29,Technology,GB,15,9,0
4.161054897855468,29,Games,AU,28,4,1
3.49467487883382,26,Film & Video,GB,5,10,1
3.3012470886362117,29,Comics,US,5,6,1
3.5875369879418604,42,Food,AU,12,9,0
2.784203481756495,29,Fashion,GB,22,9,0
4.000043427276863,29,Publishing,US,21,1,0
3.602168551378997,29,Publishing,US,6,3,0
3.9912703891951,22,Publishing,US,2,10,0
3.585573518622731,29,Publishing,US,21,8,1
4.124624193525062,32,Food,MX,27,2,0
3.653309012938479,36,Film & Video,US,26,11,0
2.929929560084588,44,Music,US,7,4,0
4.160209437858677,36,Music,GB,24,6,1
3.447313108823568,22,Publishing,US,23,1,0
4.585673087064625,59,Technology,AU,17,1,0
2.4908851094535955,29,Music,GB,30,3,0
4.27505945982431,29,Film & Video,CA,7,9,0
3.477265995424853,29,Publishing,US,15,5,0
3.699056854547668,59,Publishing,US,20,8,0
3.1763806922432702,29,Art,US,6,7,0
3.699056854547668,59,Design,US,29,4,0
4.301051709845226,29,Technology,US,2,2,0
3.875119165462568,29,Comics,US,29,4,0
3.5229655954919865,29,Music,US,15,8,0
4.361746717975897,59,Technology,US,14,6,0
3.000434077479319,29,Publishing,US,19,3,1
3.7140597089617295,25,Design,GB,4,4,1
4.079217435746567,29,Comics,US,31,8,1
5.7781519742071765,29,Games,US,20,6,0
3.1763806922432702,39,Art,US,8,6,1
3.579897869603104,29,Photography,US,18,4,0
4.25529663190434,59,Film & Video,US,26,11,1
5.54406928518988,44,Food,US,24,9,0
4.079217435746567,29,Art,US,1,2,1
2.130591051963374,16,Journalism,DE,6,6,0
3.699056854547668,30,Publishing,US,21,10,1
2.545307116465824,29,Crafts,US,9,8,0
3.602168551378997,29,Art,US,12,10,0
3.699056854547668,29,Publishing,US,6,4,1
3.477265995424853,59,Film & Video,US,16,2,0
2.6541765418779604,15,Art,US,27,3,1
3.8451600776519457,42,Design,US,4,10,0
2.7536673053825047,29,Film & Video,CA,27,5,1
3.079543007402906,49,Dance,US,21,11,1
3.477265995424853,25,Film & Video,US,27,6,0
4.079217435746567,29,Technology,US,8,7,0
3.994027526462235,24,Games,GB,18,10,1
3.342854786203314,29,Film & Video,IT,21,1,0
3.8451600776519457,44,Photography,US,16,10,0
4.217510264294027,31,Fashion,US,30,4,1
4.358267297865728,29,Music,CA,17,7,1
4.850725430044446,44,Technology,HK,11,10,0
4.544080452586785,59,Music,US,22,4,0
4.1761202110560856,35,Film & Video,US,1,2,1
3.9031442704095385,59,Theater,US,15,10,0
3.699056854547668,29,Music,US,2,5,1
3.8865471233911055,20,Publishing,US,23,10,0
2.9036325160842376,13,Music,US,14,6,1
4.698978690138799,34,Film & Video,US,28,3,0
3.602168551378997,29,Theater,US,11,12,1
3.021602716028242,30,Film & Video,US,7,11,1
4.698978690138799,29,Film & Video,US,2,6,0
3.3981136917305026,59,Art,US,6,4,0
3.699056854547668,18,Music,US,13,9,0
4.477135730961123,29,Technology,US,28,10,0
4.301051709845226,29,Fashion,US,13,8,0
4.259498314030925,29,Fashion,US,25,5,0
3.699056854547668,29,Food,US,7,8,0
3.079543007402906,10,Film & Video,US,8,11,0
4.301051709845226,29,Publishing,US,5,2,0
5.274294815231496,59,Art,CA,30,4,0
3.778223626766097,89,Publishing,US,12,12,0
4.000043427276863,20,Theater,US,1,11,0
3.9031442704095385,59,Publishing,US,4,12,0
3.699056854547668,29,Fashion,US,13,8,0
3.000434077479319,4,Art,US,26,4,0
3.477265995424853,29,Film & Video,US,31,1,1
4.505163549810412,29,Food,US,11,5,0
4.8750670539461884,29,Film & Video,US,10,5,0
3.4625477288026643,30,Publishing,US,15,2,1
4.25529663190434,44,Technology,US,2,8,0
4.477135730961123,44,Design,US,18,7,1
2.478566495593843,13,Crafts,US,7,11,1
3.875119165462568,44,Music,US,8,3,1
4.397957380103888,59,Technology,US,19,8,0
2.303196057420489,29,Art,US,28,12,1
4.683056048404344,29,Theater,US,20,9,0
4.033463966077405,45,Design,US,21,2,1
2.603144372620182,59,Crafts,US,22,1,0
4.1761202110560856,29,Comics,US,19,5,0
4.397957380103888,14,Technology,US,11,8,0
3.342710798840697,29,Fashion,MX,26,8,1
5.326337909482797,59,Publishing,US,8,5,0
5.392410928045455,44,Technology,GB,17,12,0
4.1761202110560856,29,Food,US,2,10,0
3.699056854547668,28,Music,US,2,10,1
3.195415296209372,29,Journalism,GB,16,7,0
4.3257413721537965,29,Film & Video,US,20,6,1
4.000043427276863,38,Technology,US,6,1,1
4.000043427276863,24,Publishing,US,29,5,0
4.938962699706449,29,Technology,IE,2,12,0
3.778223626766097,29,Music,US,13,12,1
3.273232834043045,33,Theater,US,15,12,1
4.11821345448375,59,Art,GB,5,11,0
3.3012470886362117,65,Film & Video,US,4,7,1
3.602168551378997,37,Music,US,24,4,0
3.3981136917305026,29,Crafts,US,2,2,1
2.970216661362936,59,Music,GB,21,6,0
4.104640726057345,29,Crafts,ES,31,8,0
3.81298016603948,29,Theater,US,10,1,1
5.176094154342576,29,Theater,US,16,6,0
3.2555137128195333,30,Music,US,25,11,1
4.669799079533876,49,Film & Video,GB,11,6,0
3.477265995424853,29,Music,US,20,3,0
3.954290761701127,40,Games,US,27,8,0
3.699056854547668,40,Design,US,3,2,1
3.5306376151399537,59,Photography,GB,9,4,0
3.699056854547668,29,Games,US,15,12,0
4.602070848554296,29,Technology,US,11,7,0
4.041432164680265,15,Film & Video,US,10,3,1
3.870561908218394,29,Design,AU,24,5,0
4.244697601296708,30,Music,US,29,9,1
2.4409090820652177,34,Film & Video,US,10,2,1
2.8756399370041685,29,Technology,US,23,3,0
4.000043427276863,29,Photography,US,26,1,0
3.2555137128195333,59,Film & Video,US,29,3,1
5.000004342923105,53,Technology,US,13,4,1
2.699837725867246,29,Film & Video,US,12,7,0
3.477265995424853,19,Publishing,US,6,10,1
3.1763806922432702,29,Photography,US,3,12,1
3.3981136917305026,29,Film & Video,US,14,11,0
4.532323309342288,29,Technology,GB,27,5,1
2.7687860469080143,9,Music,MX,27,3,1
3.92947001617749,29,Crafts,US,10,9,0
3.2255418771872306,30,Music,GB,15,11,1
3.778223626766097,29,Film & Video,US,13,2,1
3.477265995424853,29,Games,US,29,11,0
4.602070848554296,29,Design,US,1,7,0
4.301051709845226,29,Games,US,19,9,0
1.2041199826559248,29,Food,US,8,7,0
3.875119165462568,60,Theater,US,10,6,0
3.3981136917305026,19,Film & Video,US,9,2,0
3.3981136917305026,8,Dance,US,8,8,1
3.5441921107650325,18,Film & Video,US,12,9,1
3.4394905903896835,29,Music,US,14,8,1
3.699056854547668,55,Dance,US,22,1,0
4.614907757033412,29,Design,US,17,7,0
3.3981136917305026,39,Publishing,US,17,4,1
3.699056854547668,44,Design,US,7,1,1
4.301051709845226,29,Music,US,2,9,0
2.8572721735640414,29,Comics,GB,22,3,0
4.1761202110560856,34,Technology,US,17,10,1
4.1761202110560856,29,Food,US,19,8,0
4.3425192019145324,29,Publishing,IT,13,9,0
3.3012470886362117,31,Photography,US,17,10,1
3.81298016603948,29,Art,US,17,5,0
3.545507513830867,29,Photography,CA,3,11,0
4.4805802070513945,29,Food,GB,23,3,0
3.000434077479319,29,Publishing,US,27,10,1
4.000043427276863,29,Fashion,US,28,6,1
3.699056854547668,22,Art,US,28,8,0
2.829946695941636,29,Design,US,10,2,1
4.396966097844767,28,Film & Video,US,3,10,1
2.699837725867246,29,Crafts,US,3,8,1
3.699056854547668,59,Food,US,11,8,0
3.899822143335137,32,Design,CA,13,6,0
3.5151781508118574,29,Art,GB,28,6,1
3.740441644949766,58,Food,US,19,5,0
4.477135730961123,29,Publishing,US,12,11,0
2.478566495593843,29,Publishing,US,13,2,0
3.000434077479319,14,Comics,US,27,6,1
3.848004271497268,11,Food,US,10,4,1
3.3981136917305026,29,Games,US,1,6,1
3.787983013750608,37,Design,CA,13,4,1
3.3012470886362117,30,Comics,US,30,1,1
3.699056854547668,29,Art,US,10,2,0
3.699056854547668,59,Film & Video,US,29,1,1
2.001863462692524,6,Publishing,GB,28,3,0
2.597003712704645,20,Theater,GB,13,7,1
4.544080452586785,35,Art,US,21,1,0
3.9031442704095385,20,Fashion,US,4,11,0
3.92947001617749,24,Music,US,8,3,1
5.000004342923105,31,Design,US,28,3,0
3.982316469692065,44,Fashion,US,25,2,0
3.851319512648745,41,Publishing,US,3,6,0
2.603144372620182,20,Design,US,2,3,1
4.096221545138104,59,Music,CA,27,2,0
4.000043427276863,44,Film & Video,US,10,5,1
3.192798755286604,39,Fashion,GB,25,7,0
2.929929560084588,29,Dance,US,12,3,1
3.1763806922432702,13,Art,US,6,8,1
2.81903696285471,42,Music,GB,19,12,0
3.699056854547668,59,Art,US,24,7,1
4.3457852819592135,35,Games,US,19,3,1
4.204147125212848,29,Film & Video,US,18,7,0
3.954290761701127,34,Music,US,26,3,1
4.342442421031837,29,Technology,US,2,12,0
5.262364530723812,29,Publishing,CA,10,11,0
3.3012470886362117,29,Dance,US,2,12,1
4.698978690138799,29,Food,US,7,4,0
4.000043427276863,29,Design,US,29,8,0
3.763502865467597,29,Design,US,3,3,1
3.000434077479319,29,Music,US,30,10,1
3.875119165462568,44,Film & Video,US,14,5,1
2.004321373782642,29,Photography,US,8,12,1
3.1763806922432702,14,Crafts,US,13,1,1
4.1761202110560856,14,Food,US,17,5,0
4.301051709845226,34,Music,US,16,4,1
3.699056854547668,59,Food,US,28,9,0
4.698978690138799,44,Publishing,US,7,7,0
3.477265995424853,29,Music,US,29,10,1
4.301051709845226,44,Art,US,12,3,0
3.949438801036505,29,Design,US,18,8,0
3.844849800806639,39,Food,US,20,11,1
4.1761202110560856,29,Art,US,27,10,1
4.698978690138799,59,Photography,US,8,12,0
5.301032167130962,59,Technology,US,30,1,0
3.477265995424853,44,Music,US,3,8,1
4.130365937265207,9,Publishing,US,10,10,1
3.000434077479319,44,Fashion,US,10,2,0
3.3981136917305026,17,Theater,US,14,8,1
4.045796531879717,32,Games,US,19,4,0
3.1464381352857744,6,Design,US,17,4,1
2.303196057420489,29,Food,US,20,1,0
4.472847977835142,29,Technology,FR,13,9,0
3.699056854547668,34,Design,US,12,11,1
4.079217435746567,29,Film & Video,US,11,6,1
3.5052856741441323,29,Publishing,US,15,2,0
3.9031442704095385,29,Art,US,6,7,0
4.1761202110560856,29,Technology,US,8,11,0
5.000004342923105,44,Technology,US,1,8,0
4.301051709845226,44,Technology,US,27,8,1
4.397957380103888,29,Design,US,14,10,1
4.009474267182057,29,Publishing,GB,22,5,1
2.303196057420489,29,Games,US,22,10,0
3.699056854547668,30,Food,US,15,7,1
4.301051709845226,29,Music,US,24,8,0
4.09694475517694,44,Technology,US,9,8,0
3.699056854547668,29,Fashion,US,12,10,0
3.602168551378997,29,Film & Video,US,5,2,1
4.653222164656599,29,Technology,US,13,6,0
2.6441233407601183,29,Film & Video,AU,24,9,0
3.506153124867636,34,Fashion,DE,10,10,0
3.477265995424853,29,Fashion,US,19,6,0
2.813580988568192,29,Dance,US,26,7,1
4.845098040014257,29,Technology,US,29,4,0
3.699056854547668,29,Publishing,US,21,7,0
4.477135730961123,29,Music,US,1,11,1
3.3981136917305026,14,Photography,US,22,10,0
4.698978690138799,29,Art,US,25,8,0
5.176094154342576,29,Food,US,4,5,0
4.698978690138799,29,Technology,US,11,1,0
3.3012470886362117,20,Publishing,US,9,4,1
4.113976758289846,29,Food,US,28,1,1
3.660797199268507,29,Film & Video,GB,17,1,1
4.477135730961123,45,Film & Video,US,21,2,1
3.346679550634351,26,Comics,CA,4,4,1
4.079217435746567,26,Fashion,US,3,5,0
4.698978690138799,29,Film & Video,US,4,8,0
3.000434077479319,27,Design,US,23,6,1
3.180289350241472,59,Art,DK,22,2,1
4.09694475517694,33,Music,US,29,8,1
3.3981136917305026,29,Comics,US,16,7,1
4.380229336938037,34,Games,US,20,3,1
2.829136456804692,12,Theater,DK,19,9,1
2.699837725867246,29,Fashion,US,12,8,0
3.699056854547668,39,Photography,US,22,12,0
3.477265995424853,29,Photography,US,5,10,0
3.3977992744597274,14,Crafts,GB,15,10,0
4.424169037953654,29,Design,DK,10,4,0
3.477265995424853,29,Art,US,20,7,0
4.000043427276863,29,Film & Video,US,1,6,1
2.8756399370041685,49,Dance,US,30,3,1
4.397957380103888,29,Film & Video,US,13,8,0
2.971609792992855,21,Film & Video,CA,4,6,1
4.903095415639038,29,Film & Video,US,4,6,0
3.495764897577069,29,Art,CA,30,1,1
3.698182348903281,41,Film & Video,GB,12,2,1
4.268918301039117,34,Design,CA,14,6,0
3.896461729891839,29,Games,NL,17,5,0
4.477135730961123,31,Theater,US,1,3,1
4.368858995450515,59,Technology,DK,13,11,0
3.000434077479319,58,Journalism,US,26,2,0
2.399673721481038,29,Art,US,19,3,1
4.903095415639038,29,Food,US,22,1,0
4.298874899704699,59,Technology,US,18,3,0
4.079217435746567,29,Games,US,16,3,0
4.25529663190434,29,Crafts,US,14,9,0
3.921182193178184,25,Art,GB,26,1,0
4.079217435746567,15,Film & Video,US,12,5,1
2.925843029669384,29,Film & Video,GB,23,4,0
4.363630780112138,29,Design,US,10,9,1
3.670003582819884,59,Publishing,CA,18,10,0
3.3619166186686438,29,Crafts,US,24,11,0
3.3981136917305026,59,Games,US,13,10,0
4.301051709845226,44,Music,US,3,12,1
3.3981136917305026,24,Art,US,21,4,0
4.020872355281964,44,Food,NL,18,9,0
5.025556864094843,30,Technology,IT,1,2,0
4.000043427276863,44,Publishing,US,25,5,0
3.875119165462568,39,Technology,US,20,10,0
4.698978690138799,44,Fashion,US,10,7,0
3.477265995424853,29,Crafts,US,12,7,0
3.773119137005,29,Fashion,CA,10,10,0
