feature,importance
num__usd_goal_log,0.4129438101637764
num__duration_days,0.20562212810118902
cat__main_category_Music,0.06366933013083605
cat__main_category_Technology,0.058065876067573186
cat__main_category_Theater,0.04518899716956301
cat__main_category_Fashion,0.029470335995068122
cat__main_category_Food,0.026791349092291916
cat__main_category_Comics,0.02441297170324483
cat__main_category_Crafts,0.014389203252159314
num__launch_day,0.014376447891616413
cat__main_category_Dance,0.014039751499411822
cat__country_US,0.01376412383166828
num__launch_month,0.01370830710681498
cat__main_category_Publishing,0.01333461725664002
cat__main_category_Journalism,0.00785810730457376
cat__main_category_Games,0.005680011906433266
cat__main_category_Design,0.005041212318402429
cat__country_IT,0.0048432825008945845
cat__country_GB,0.0038071608666817025
cat__main_category_Photography,0.003309371370927781
cat__main_category_Film & Video,0.0032767687769837055
cat__country_CA,0.0027958527276849498
cat__country_AU,0.002191359812738338
cat__country_DE,0.0017598259703214794
cat__main_category_Art,0.0016192424106020987
cat__country_NL,0.0015356321065445248
cat__country_MX,0.0012869067496654042
cat__country_ES,0.0011352672031256356
cat__country_FR,0.0006801979480458652
cat__country_HK,0.0005699285104028957
cat__country_SE,0.0005250715967164984
cat__country_DK,0.0003150225406588079
cat__country_NZ,0.0003148877058775781
cat__country_BE,0.0002696810016534295
cat__country_CH,0.00026510302614670187
cat__country_NO,0.00025206752442359995
cat__country_SG,0.00022826230483278398
cat__country_AT,0.00022358606675208632
cat__country_IE,0.0002158631088113784
"cat__country_N,0""",0.00018119987176735066
cat__country_JP,2.176005844178476e-05
cat__country_LU,2.0117448036209072e-05
